"astro-ph/0512553","Patricio S. Letelier","D. Vogt and P.S. Letelier","Comments on ""Perspectives on Galactic Dynamics via General Relativity""","5 pages, 1 figure",,,,"astro-ph gr-qc",,"  In this comment we question some arguments presented in astro-ph/0512048 to
refuse the presence of an singular mass surface layer. In particular, incorrect
expressions are used for the disk's surface mass density. We also point out
that the procedure of removing the descontinuity on the $z=0$ plane with a
region of continuous density gradient generates other two regions of
descontinuities with singular mass surface layers making the model unrealistic.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:40:32 GMT""}]","2007-05-23"
"cond-mat/0512594","Syed  Raghib Hassan","S. R. Hassan, R. Moessner","Semiclassical degeneracies and ordering for highly frustrated magnets in
  a field","10 pages, 8 figures","Phys.Rev. B73, 094443 (2006)","10.1103/PhysRevB.73.094443","LPTENS 05/36","cond-mat.str-el",,"  We discuss ground state selection by quantum fluctuations in frustrated
magnets in a strong magnetic field. We show that there exist dynamical
symmetries -- one a generalisation of Henley's gauge-like symmetry for
collinear spins, the other the quantum relict of non-collinear weathervane
modes -- which ensure a partial survival of the classical degeneracies. We
illustrate these for the case of the kagome magnet, where we find zero-point
energy differences to be rather small everywhere except near the collinear
`up-up-down` configurations, where there is rotational but not translational
symmetry breaking. In the effective Hamiltonian, we demonstrate the presence of
a term sensitive to a topological `flux'. We discuss the connection of such
problems to gauge theories by casting the frustrated lattices as medial
lattices of appropriately chosen simplex lattices, and in particular we show
how the magnetic field can be used to tune the physical sector of the resulting
gauge theories.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:05:45 GMT""}]","2009-11-11"
"cond-mat/0512595","Yu-Ming Lin","Yu-Ming Lin, Joerg Appenzeller, Joachin Knoch, Zhihong Chen, Phaedon
  Avouris","Low-frequency Current Fluctuations in Individual Semiconducting
  Single-Wall Carbon Nanotubes",,"Nano Lett. 2006; 6(5); 930-936","10.1021/nl052528d",,"cond-mat.mtrl-sci cond-mat.other",,"  We present a systematic study on low-frequency current fluctuations of
nano-devices consisting of one single semiconducting nanotube, which exhibit
significant 1/f-type noise. By examining devices with different switching
mechanisms, carrier types (electrons vs. holes), and channel lengths, we show
that the 1/f fluctuation level in semiconducting nanotubes is correlated to the
total number of transport carriers present in the system. However, the 1/f
noise level per carrier is not larger than that of most bulk conventional
semiconductors, e.g. Si. The pronounced noise level observed in nanotube
devices simply reflects on the small number of carriers involved in transport.
These results not only provide the basis to quantify the noise behavior in a
one-dimensional transport system, but also suggest a valuable way to
characterize low-dimensional nanostructures based on the 1/f fluctuation
phenomenon.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:50:01 GMT""}]","2007-12-18"
"cond-mat/0512596","Qijin Chen","Qijin Chen, C. A. Regal, M. Greiner, D. S. Jin, and K. Levin","Understanding the superfluid phase diagram in trapped Fermi gases","4 pages, 3 figures, submitted to PRA Rapid","Phys. Rev. A 73, 041601(R) (2006)","10.1103/PhysRevA.73.041601",,"cond-mat.str-el cond-mat.quant-gas cond-mat.supr-con",,"  Trapped ultracold Fermi gases provide a system that can be tuned between the
BCS and BEC regimes by means of a magnetic-field Feshbach resonance.
Condensation of fermionic atom pairs in a $^{40}$K gas was demonstrated
experimentally by a sweep technique that pairwise projects fermionic atoms onto
molecules. In this paper we examine previous data obtained with this technique
that probed the phase boundary in the temperature-magnetic field plane.
Comparison of the $^{40}$K data to a theoretically computed phase diagram
demonstrates good agreement between the two.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 21:17:27 GMT""}]","2011-09-13"
"cond-mat/0512597","M. Naeem Khan Mr","M. Naeem, S. K. Hasanain, M. Kobayashi, Y. Ishida, A. Fujimori, Scott
  Buzby, S. Ismat Shah","Effect of Reducing Atmosphere on the Magnetism of Zn1-xCoxO
  Nanoparticles","11 pages, 6 figures, submitted to Nanotechnology IOP","Nanotechnology 17 (2006) 2675--2680","10.1088/0957-4484/17/10/039","cond-mat/0512597","cond-mat.mtrl-sci cond-mat.other",,"  We report the crystal structure and magnetic properties of Zn1-xCoxO
nanoparticles synthesized by heating metal acetates in organic solvent. The
nanoparticles were crystallized in wurtzite ZnO structure after annealing in
air and in a forming gas (Ar95%+H5%). The X-ray diffraction and X-ray
photoemission spectroscopy (XPS) data for different Co content show clear
evidence for the Co+2 ions in tetrahedral symmetry, indicating the substitution
of Co+2 in ZnO lattice. However samples with x=0.08 and higher cobalt content
also indicate the presence of Co metal clusters. Only those samples annealed in
the reducing atmosphere of the forming gas, and that showed the presence of
oxygen vacancies, exhibited ferromagnetism at room temperature. The air
annealed samples remained non-magnetic down to 77K. The essential ingredient in
achieving room temperature ferromagnetism in these Zn1-xCoxO nanoparticles was
found to be the presence of additional carriers generated by the presence of
the oxygen vacancies.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 21:22:21 GMT""}]","2007-05-23"
"cond-mat/0512598","Clemens Foerst J","Clemens J. Foerst, Jan Slycke, Krystyn J. Van Vliet, and Sidney Yip","Point defect concentrations in metastable Fe-C alloys",,"Phys.Rev.Lett 96, 175501 (2006)","10.1103/PhysRevLett.96.175501",,"cond-mat.mtrl-sci",,"  Point defect species and concentrations in metastable Fe-C alloys are
determined using density functional theory and a constrained free-energy
functional. Carbon interstitials dominate unless iron vacancies are in
significant excess, whereas excess carbon causes greatly enhances vacancy
concentration. Our predictions are amenable to experimental verification; they
provide a baseline for rationalizing complex microstructures known in hardened
and tempered steels, and by extension other technological materials created by
or subjected to extreme environments.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 21:54:17 GMT""},{""version"":""v2"",""created"":""Tue, 2 May 2006 21:54:04 GMT""}]","2007-05-23"
"cond-mat/0512599","Rene Roij van","M. Dijkstra, J. Zwanikken, and R. van Roij","Sedimentation of binary mixtures of like- and oppositely charged
  colloids: the primitive model or effective pair potentials?",,"J. Phys.: Condens. Matter. 18, 825 (2006)","10.1088/0953-8984/18/3/005",,"cond-mat.soft",,"  We study sedimentation equilibrium of low-salt suspensions of binary mixtures
of charged colloids, both by Monte Carlo simulations of an effective
colloids-only system and by Poisson-Boltzmann theory of a colloid-ion mixture.
We show that the theoretically predicted lifting and layering effect, which
involves the entropy of the screening ions and a spontaneous macroscopic
electric field [J. Zwanikken and R. van Roij, Europhys. Lett. {\bf 71}, 480
(2005)], can also be understood on the basis of an effective colloid-only
system with pairwise screened-Coulomb interactions. We consider, by theory and
by simulation, both repelling like-charged colloids and attracting oppositely
charged colloids, and we find a re-entrant lifting and layering phenomenon when
the charge ratio of the colloids varies from large positive through zero to
large negative values.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 22:26:48 GMT""}]","2009-11-11"
"cond-mat/0512601","Huiqiu Yuan","H. Q. Yuan, D. F. Agterberg, N. Hayashi, P. Badica, D. Vandervelde, K.
  Togano, M. Sigrist, M. B. Salamon","S-wave/spin-triplet order in superconductors without inversion symmetry:
  Li$_2$Pd$_3$B and Li$_2$Pt$_3$B","Phys. Rev. Lett. (in press). More details are included","Phys. Rev. Lett., 97, 017006 (2006)","10.1103/PhysRevLett.97.017006",,"cond-mat.supr-con",,"  We investigate the order parameter of noncentrosymmetric superconductors
Li$_2$Pd$_3$B and Li$_2$Pt$_3$B via the behavior of the penetration depth
$\lambda(T)$. The low-temperature penetration depth shows BCS-like behavior in
Li$_2$Pd$_3$B, while in Li$_2$Pt$_3$B it follows a linear temperature
dependence. We propose that broken inversion symmetry and the accompanying
antisymmetric spin-orbit coupling, which admix spin-singlet and spin-triplet
pairing, are responsible for this behavior. The triplet contribution is weak in
Li$_2$Pd$_3$B, leading to a wholly open but anisotropic gap. The significantly
larger spin-orbit coupling in Li$_2$Pt$_3$B allows the spin-triplet component
to be larger in Li$_2$Pt$_3$B, producing line nodes in the energy gap as
evidenced by the linear temperature dependence of $\lambda(T)$. The
experimental data are in quantitative agreement with theory.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 00:09:16 GMT""},{""version"":""v2"",""created"":""Sun, 18 Jun 2006 17:54:16 GMT""}]","2009-11-11"
"cond-mat/0512603","John Shumway Jr.","Michael Wimmer, S. V. Nair, J. Shumway","Biexciton recombination rates in self-assembled quantum dots","11 pages, 4 figures","Phys. Rev. B 73, 165305 (2006)","10.1103/PhysRevB.73.165305",,"cond-mat.mes-hall",,"  The radiative recombination rates of interacting electron-hole pairs in a
quantum dot are strongly affected by quantum correlations among electrons and
holes in the dot. Recent measurements of the biexciton recombination rate in
single self-assembled quantum dots have found values spanning from two times
the single exciton recombination rate to values well below the exciton decay
rate. In this paper, a Feynman path-integral formulation is developed to
calculate recombination rates including thermal and many-body effects. Using
real-space Monte Carlo integration, the path-integral expressions for realistic
three-dimensional models of InGaAs/GaAs, CdSe/ZnSe, and InP/InGaP dots are
evaluated, including anisotropic effective masses. Depending on size, radiative
rates of typical dots lie in the regime between strong and intermediate
confinement. The results compare favorably to recent experiments and
calculations on related dot systems. Configuration interaction calculations
using uncorrelated basis sets are found to be severely limited in calculating
decay rates.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 06:15:45 GMT""}]","2008-06-17"
"cond-mat/0512604","Chunyan Yang","B.N.J. Persson","Influence of frozen capillary waves on contact mechanics","4 pages, 2 figures","Wear, 264 (2008) 746","10.1016/j.wear.2006.10.028",,"cond-mat.soft",,"  Free surfaces of liquids exhibit thermally excited (capillary) surface waves.
We show that the surface roughness which results from capillary waves when a
glassy material is cooled below the glass transition temperature can have a
large influence on the contact mechanics between the solids. The theory suggest
a new explanation for puzzling experimental results [L. Bureau, T. Baumberger
and C. Caroli, arXiv:cond-mat/0510232] about the dependence of the frictional
shear stress on the load for contact between a glassy polymer lens and flat
substrates. It also lend support for a recently developed contact mechanics
theory.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 09:03:33 GMT""}]","2008-05-30"
"cond-mat/0512605","Francesco Massel","F. P. Massel, V. Penna","Mean-field algebraic approach to the dynamics of fermions in a 1D
  optical lattice","10 pages, 2 figures, submitted to J. Phys. B, Cortona BEC 2005
  special issue",,"10.1088/0953-4075/39/10/S14",,"cond-mat.other",,"  We consider a one-dimensional optical lattice of three-dimensional Harmonic
Oscillators which are loaded with neutral fermionic atoms trapped into two
hyperfine states. By means of a standard variational coherent-state procedure,
we derive an effective Hamiltonian for this quantum model and the hamiltonian
equations describing its evolution. To this end, we identify the algebra
$\mathcal L$ of two-fermion operators --describing the relevant microscopic
quantum processes of our model-- whereby the natural choice for the trial state
appears to be a so(2r) coherent state. The coherent-state parameters, playing
the role of dynamical variables for the effective Hamiltonian, are shown to
identify with the $\mathcal L$-operator expectation values thus providing a
clear physical interpretation of this algebraic mean-field picture.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 10:15:45 GMT""}]","2009-11-11"
"cond-mat/0512606","Veronica Ahufinger","M. Pons, V. Ahufinger, C. Wunderlich, A. Sanpera and M. Lewenstein","Trapped ion chain as a neural network","4 pages, 3 figures",,"10.1103/PhysRevLett.98.023003",,"cond-mat.dis-nn",,"  We demonstrate the possibility of realizing a neural network in a chain of
trapped ions with induced long range interactions. Such models permit to store
information distributed over the whole system. The storage capacity of such
network, which depends on the phonon spectrum of the system, can be controlled
by changing the external trapping potential and/or by applying longitudinal
local magnetic fields. The system properties suggest the possibility of
implementing robust distributed realizations of quantum logic.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 11:00:38 GMT""}]","2013-05-29"
"cond-mat/0512607","Pieralberto Marchetti","P.A. Marchetti, Z.B. Su, L. Yu","Spin-charge gauge symmetry: A way to tackle HTS cuprates?","8 pages, 14 figures; to appear without figures in Journal of Physics
  and Chemistry of Solids",,"10.1016/j.jpcs.2005.10.006",,"cond-mat.str-el",,"  We propose an explanation of several experimental features of transport
phenomena in the normal state of high Tc cuprates in terms of a spin-charge
gauge theory of the 2D t-J model. The calculated doping-temperature dependence
for a number of physical quantities is found in qualitative agreement with
data. In particular, we recover: in the ``pseudogap phase'' the metal-insulator
crossover of the in-plane resistivity and of the NMR ``relaxation time'' and
the insulating behavior of the out-of-plane resistivity; in the ``strange metal
phase'' (at higher temperature or doping) the linear in T behavior of the above
quantities; the appearance of maxima in the in-plane far-infrared conductivity
in strongly underdoped and overdoped samples.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 12:49:58 GMT""}]","2009-11-11"
"cond-mat/0512608","Olivier Dauchot","Frederic Lechenault, Olivier Dauchot and Eric Bertin","Void statistics and compactivity measurement in an experimental granular
  pile","16 pages, 7 figures; replace a shorter version","J. Stat. Mech. P07009 (2006)","10.1088/1742-5468/2006/07/P07009",,"cond-mat.stat-mech",,"  We investigate experimentally the statistics of the free volume inside
bidimensional granular packings, for two different kinds of grains and two
levels of compaction. With the aim to gain new insight into the statistical
description of granular media, we measure the free volume distribution in
clusters of increasing size. Our main result is that the logarithm of the free
volume distribution scales in a nonextensive way with the cluster size, while
still enabling the extraction of two intensive parameters. We discuss the
interpretation of these parameters, and the consequences of the nonextensivity
on the possible measurements of Edwards' ''compactivity''.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 11:26:36 GMT""},{""version"":""v2"",""created"":""Sat, 25 Mar 2006 22:30:07 GMT""}]","2007-05-23"
"cond-mat/0512609","C. W. J. Beenakker","H. van Houten, C.W.J. Beenakker","Quantum Point Contacts","#1 of a series of 4 legacy reviews on QPC's","Physics Today 49, 22-27 (1996)","10.1063/1.881503",,"cond-mat.mes-hall",,"  1. Quantized conductance
  2. When 1 mode = 1 atom
  3. Photons and Cooper pairs
  4. Thermal analogues
  5. Shot noise
  6. Solid-state electron optics
  7. Ultimate confinement
  8. Landauer formulas
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 13:16:09 GMT""}]","2021-05-04"
"cond-mat/0512610","C. W. J. Beenakker","C.W.J. Beenakker, H. van Houten","The Superconducting Quantum Point Contact","#2 of a series of 4 legacy reviews on QPC's","in Nanostructures and Mesoscopic Systems, edited by W.P. Kirk and
  M.A. Reed (Academic, New York, 1992)","10.1016/B978-0-12-409660-8.50051-1",,"cond-mat.mes-hall",,"  1. Introduction
  2. Josephson current from excitation spectrum
  3. Josephson current through a quantum point contact
  4. Experimental realization
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 12:58:51 GMT""}]","2021-02-03"
"cond-mat/0512611","C. W. J. Beenakker","H. van Houten, C. W. J. Beenakker","Quantum Point Contacts and Coherent Electron Focusing","#3 of a series of 4 legacy reviews on QPC's","in Analogies in Optics and Micro Electronics, edited by W. van
  Haeringen and D. Lenstra (Kluwer, Dordrecht, 1990)","10.1007/978-94-009-2009-5_13",,"cond-mat.mes-hall",,"  I. Introduction
  II. Electrons at the Fermi level
  III. Conductance quantization of a quantum point contact
  IV. Optical analogue of the conductance quantization
  V. Classical electron focusing
  VI. Electron focusing as a transmission problem
  VII. Coherent electron focusing (Experiment, Skipping orbits and magnetic
edge states, Mode-interference and coherent electron focusing)
  VIII. Other mode-interference phenomena
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 13:26:46 GMT""}]","2013-04-08"
"cond-mat/0512612","C. W. J. Beenakker","H. van Houten, L.W. Molenkamp, C.W.J. Beenakker, C.T. Foxon","Thermo-Electric Properties of Quantum Point Contacts","#4 of a series of 4 legacy reviews on QPC's","Semiconductor Science & Technology 7, B215 (1992)","10.1088/0268-1242/7/3B/052",,"cond-mat.mes-hall",,"  I. Introduction
  II. Theoretical background (Landauer-Buttiker formalism of
thermo-electricity, Quantum point contacts as ideal electron waveguides,
Saddle-shaped potential)
  III. Experiments (Thermopower, Thermal conductance, Peltier effect)
  IV. Conclusions
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 13:36:45 GMT""}]","2007-05-23"
"cond-mat/0512613","Daniel Sanchez-Portal","Sampsa Riikonen, Andres Ayuela, Daniel Sanchez-Portal","Metal-insulator transition in the In/Si(111) surface","Presented in the 23 European Conference in Surface Science, Berlin,
  September 2005. Submitted to Surface Science (proceedings of the conference)
  in August 2005",,"10.1016/j.susc.2006.01.092",,"cond-mat.mtrl-sci",,"  The metal-insulator transition observed in the In/Si(111)-4x1 reconstruction
is studied by means of ab initio calculations of a simplified model of the
surface. Different surface bands are identified and classified according to
their origin and their response to several structural distortions. We support
the, recently proposed [New J. of Phys. 7 (2005) 100], combination of a shear
and a Peierls distortions as the origin of the metal-insulator transition. Our
results also seem to favor an electronic driving force for the transition.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 15:08:00 GMT""}]","2009-11-11"
"cond-mat/0512615","Alexander Zorin","A.B. Zorin, E.M. Tolkacheva, M.I. Khabipov, F.-I. Buchholz, J.
  Niemeyer","Dynamics of Josephson junctions and single-flux-quantum networks with
  superconductor-insulator-normal metal junction shunts","8 pages incl. 7 figures","Phys. Rev. B 74, 014508 (2006)","10.1103/PhysRevB.74.014508",,"cond-mat.supr-con",,"  Within the framework of the microscopic model of tunneling, we modelled the
behavior of the Josephson junction shunted by the
Superconductor-Insulator-Normal metal (SIN) tunnel junction. We found that the
electromagnetic impedance of the SIN junction yields both the
frequency-dependent damping and dynamic reactance which leads to an increase in
the effective capacitance of the circuit. We calculated the dc I-V curves and
transient characteristics of these circuits and explained their quantitative
differences to the curves obtained within the resistively shunted junction
model. The correct operation of the basic single-flux-quanta circuits with such
SIN-shunted junctions, i.e. the Josephson transmission line and the toggle
flip-flop, have also been modelled.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 13:16:03 GMT""}]","2007-05-23"
"cond-mat/0512616","Samir Lounis","Samir Lounis, Phivos Mavropoulos, Peter H. Dederichs, Stefan Bl\""ugel","Surface state scattering by adatoms on noble metals","6 pages, 5 figures","Phys. Rev. B, 73, 195421 (2006)","10.1103/PhysRevB.73.195421",,"cond-mat.mtrl-sci",,"  When surface state electrons scatter at perturbations, such as magnetic or
nonmagnetic adatoms or clusters on surfaces, an electronic resonance, localized
at the adatom site, can develop below the bottom of the surface state band for
both spin channels. In the case of adatoms, these states have been found very
recently in scanning tunneling spectroscopy experiments\cite{limot,olsson} for
the Cu(111) and Ag(111) surfaces. Motivated by these experiments, we carried
out a systematic theoretical investigation of the electronic structure of these
surface states in the presence of magnetic and non-magnetic atoms on Cu(111).
We found that Ca and all 3$d$ adatoms lead to a split-off state at the bottom
of the surface band which is, however, not seen for the $sp$ elements Ga and
Ge. The situation is completely reversed if the impurities are embedded in the
surface: Ga and Ge are able to produce a split-off state whereas the 3$d$
impurities do not. The resonance arises from the s-state of the impurities and
is explained in terms of strength and interaction nature (attraction or
repulsion) of the perturbing potential.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 13:19:32 GMT""}]","2015-06-25"
"cond-mat/0512617","Oksana Zaharko","O. Zaharko, H. Ronnow, J. Mesot, S. J. Crowe, D. M^cK. Paul, P. J.
  Brown, A. Daoud-Aladine, A. Meents, A. Wagner, M. Prester, H. Berger","Incommensurate magnetic ordering in Cu2Te2O5X2 (X=Cl, Br) studied by
  single crystal neutron diffraction",,,"10.1103/PhysRevB.73.064422",,"cond-mat.mtrl-sci",,"  Polarized and unpolarized neutron diffraction studies have been carried out
on single crystals of the coupled spin tetrahedra systems Cu2Te2O5X2 (X=Cl,
Br). A model of the magnetic structure associated with the propagation vectors
k'Cl ~ -0.150,0.422,1/2 and k'Br ~ -0.172,0.356,1/2 and stable below TN=18 K
for X=Cl and TN=11 K for X=Br is proposed. A feature of the model, common to
both the bromide and chloride, is a canted coplanar motif for the 4 Cu2+ spins
on each tetrahedron which rotates on a helix from cell to cell following the
propagation vector. The Cu2+magnetic moment determined for X=Br, 0.395(5)muB,
is significantly less than for X=Cl, 0.88(1)muB at 2K. The magnetic structure
of the chloride associated with the wave-vector k' differs from that determined
previously for the wave vector k~0.150,0.422,1/2 [O. Zaharko et.al. Phys. Rev.
Lett. 93, 217206 (2004)].
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 13:34:49 GMT""}]","2009-11-11"
"cond-mat/0512618","Daniel Sanchez-Portal","Sampsa Riikonen, Daniel Sanchez-Portal","Ab initio study of the double row model of the Si(553)-Au reconstruction","Submitted to Surface Science on December 2005",,"10.1016/j.susc.2005.12.043",,"cond-mat.mtrl-sci",,"  Using x-ray diffraction Ghose et al. [Surf. Sci. {\bf 581} (2005) 199] have
recently produced a structural model for the quantum-wire surface Si(553)-Au.
This model presents two parallel gold wires located at the step edge. Thus, the
structure and the gold coverage are quite different from previous proposals. We
present here an ab initio study using density functional theory of the
stability, electronic band structure and scanning tunneling microscopy images
of this model.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 14:48:12 GMT""}]","2009-11-11"
"cond-mat/0512619","Robert J. Gooding","F. Fazileh, R. J. Gooding, W. A. Atkinson and D. C. Johnston","The role of strong electronic correlations in the metal-to-insulator
  transition in disordered LiAl_yTi_(2-y)O_4","10 pages, 4 figures","Physical Review Letters 96, 046410 (2006); 4 pages","10.1103/PhysRevLett.96.046410",,"cond-mat.str-el cond-mat.mtrl-sci",,"  The compound LiAl_yTi_(2-y)O_4 undergoes a metal-to-insulator transition for
y_c ~0 .33. This system, in the absence of strong electronic correlations, is a
prototypical example of quantum site percolation. However, it is known that the
effects of disorder produced by such a percolating lattice are insufficient to
explain this transition: a quantum site percolation model predicts y_c ~ 0.8,
well above the experimental value. We have included an on-site Hubbard
interaction into a model of this compound, using a real-space Hartree-Fock
approach, and have found that for a Hubbard energy equal to 1.5 times the
non-interacting bandwidth one obtains y_c~0.35. Further, as a function of
increasing Hubbard energy, we find that an Altshuler-Aronov suppression of the
density of states, delta N(E) ~ sqrt(| E-E_F |), reduces the density of states
at the Fermi energy to zero at the critical Hubbard interaction. Using this
ratio of correlation to hopping energy one is led to a prediction for the value
of near-neighbour superexchange J/t~1/3 which is similar to that for the
cuprate superconductors.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 15:26:18 GMT""},{""version"":""v2"",""created"":""Thu, 12 Jan 2006 16:29:11 GMT""},{""version"":""v3"",""created"":""Fri, 3 Feb 2006 19:20:05 GMT""}]","2010-11-17"
"cond-mat/0512621","Kamal K. Bardhan","K. K. Bardhan, C. D. Mukherjee, and U. N. Nandi","Noise In Nonohmic Regimes Of Disordered Systems","9 Pages, 7 figures. Reported in Unsolved Problems of Noise and
  Fluctuations: UPoN 2005, Gallipoli, Italy, June 6-10, 2005","AIP Conference Proceedings 800, 2005","10.1063/1.2138601",,"cond-mat.other cond-mat.stat-mech",,"  We present here a short review of mainly experimental properties of noise as
disordered systems are driven into non-ohmic regimes by applying voltages of
few volts only. It is found that the noise does not simply follow the
resistance in that the direction of change of noise could be opposite to that
of resistance. It is discussed how this and other properties make the noise a
complementary and incisive tool for studying complex systems, particularly its
dynamic properties. Study of noise in non-ohmic regimes in physical systems is
rather in a nascent stage. Some of the open issues are highlighted.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 15:11:01 GMT""}]","2009-11-11"
"cs/0512086","Lutz Strassburger","Lutz Strassburger","On the Axiomatisation of Boolean Categories with and without Medial","66 pages LaTeX, using TAC style, v3: minor changes as requested by
  the referee",,,,"cs.LO",,"  The term ``Boolean category'' should be used for describing an object that is
to categories what a Boolean algebra is to posets. More specifically, a Boolean
category should provide the abstract algebraic structure underlying the proofs
in Boolean Logic, in the same sense as a Cartesian closed category captures the
proofs in intuitionistic logic and a *-autonomous category captures the proofs
in linear logic. However, recent work has shown that there is no canonical
axiomatisation of a Boolean category. In this work, we will see a series (with
increasing strength) of possible such axiomatisations, all based on the notion
of *-autonomous category. We will particularly focus on the medial map, which
has its origin in an inference rule in KS, a cut-free deductive system for
Boolean logic in the calculus of structures. Finally, we will present a
category of proof nets as a particularly well-behaved example of a Boolean
category.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 17:43:53 GMT""},{""version"":""v2"",""created"":""Mon, 10 Apr 2006 16:07:57 GMT""},{""version"":""v3"",""created"":""Fri, 5 Oct 2007 15:58:08 GMT""}]","2011-11-09"
"cs/0512087","Ashish Khisti","Ashish Khisti, Uri Erez, Gregory Wornell","Fundamental Limits and Scaling Behavior of Cooperative Multicasting in
  Wireless Networks","The upper bound in Section (IV) has been modified so that it
  immediately generalizes to the multiple antenna case. The new version does
  not rely on Teletar's conjecture being true. Some additional typos have been
  corrected",,,,"cs.IT cs.NI math.IT",,"  A framework is developed for analyzing capacity gains from user cooperation
in slow fading wireless networks when the number of nodes (network size) is
large. The framework is illustrated for the case of a simple multipath-rich
Rayleigh fading channel model. Both unicasting (one source and one destination)
and multicasting (one source and several destinations) scenarios are
considered. We introduce a meaningful notion of Shannon capacity for such
systems, evaluate this capacity as a function of signal-to-noise ratio (SNR),
and develop a simple two-phase cooperative network protocol that achieves it.
We observe that the resulting capacity is the same for both unicasting and
multicasting, but show that the network size required to achieve any target
error probability is smaller for unicasting than for multicasting. Finally, we
introduce the notion of a network ``scaling exponent'' to quantify the rate of
decay of error probability with network size as a function of the targeted
fraction of the capacity. This exponent provides additional insights to system
designers by enabling a finer grain comparison of candidate cooperative
transmission protocols in even moderately sized networks.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:25:18 GMT""},{""version"":""v2"",""created"":""Sat, 6 May 2006 03:33:12 GMT""}]","2009-09-29"
"cs/0512088","Philippe Robert","Nelson Antunes, Christine Fricker, Philippe Robert, Danielle Tibi","Analysis of loss networks with routing","Published at http://dx.doi.org/10.1214/105051606000000466 in the
  Annals of Applied Probability (http://www.imstat.org/aap/) by the Institute
  of Mathematical Statistics (http://www.imstat.org)","Annals of Applied Probability 16, 4 (2006) 2007-2026",,,"cs.NI math.PR",,"  This paper analyzes stochastic networks consisting of finite capacity nodes
with different classes of requests which move according to some routing policy.
The Markov processes describing these networks do not, in general, have
reversibility properties, so the explicit expression of their invariant
distribution is not known. Kelly's limiting regime is considered: the arrival
rates of calls as well as the capacities of the nodes are proportional to a
factor going to infinity. It is proved that, in limit, the associated rescaled
Markov process converges to a deterministic dynamical system with a unique
equilibrium point characterized by a nonstandard fixed point equation.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 17:00:30 GMT""},{""version"":""v2"",""created"":""Fri, 13 Jan 2006 07:06:00 GMT""},{""version"":""v3"",""created"":""Fri, 28 Apr 2006 09:03:43 GMT""},{""version"":""v4"",""created"":""Wed, 14 Feb 2007 09:12:59 GMT""}]","2007-08-13"
"cs/0512089","Stephen F. Bush PhD","Stephen F. Bush, Todd Hughes","On The Effectiveness of Kolmogorov Complexity Estimation to Discriminate
  Semantic Types",,"SFI Workshop: Resilient and Adaptive Defense of Computing Networks
  2003, Santa Fe Institute, Santa Fe, NM, Nov 5-6, 2003",,,"cs.NI cs.CR",,"  We present progress on the experimental validation of a fundamental and
universally applicable vulnerability analysis framework that is capable of
identifying new types of vulnerabilities before attackers innovate attacks.
This new framework proactively identifies system components that are vulnerable
based upon their Kolmogorov Complexity estimates and it facilitates prediction
of previously unknown vulnerabilities that are likely to be exploited by future
attack methods. A tool that utilizes a growing library of complexity estimators
is presented. This work is an incremental step towards validation of the
concept of complexity-based vulnerability analysis. In particular, results
indicate that data types (semantic types) can be identified by estimates of
their complexity. Thus, a map of complexity can identify suspicious types, such
as executable data embedded within passive data types, without resorting to
predefined headers, signatures, or other limiting a priori information.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 22:02:34 GMT""}]","2007-05-23"
