"astro-ph/0511774","Max Tegmark","Max Tegmark (MIT), Anthony Aguirre (UCSC), Martin J Rees (Cambridge),
  Frank Wilczek (MIT)","Dimensionless constants, cosmology and other dark matters","29 pages, 13 figs, minor mods to match published PRD version","Phys.Rev.D73:023505,2006","10.1103/PhysRevD.73.023505",,"astro-ph hep-ph hep-th",,"  We identify 31 dimensionless physical constants required by particle physics
and cosmology, and emphasize that both microphysical constraints and selection
effects might help elucidate their origin. Axion cosmology provides an
instructive example, in which these two kinds of arguments must both be taken
into account, and work well together. If a Peccei-Quinn phase transition
occurred before or during inflation, then the axion dark matter density will
vary from place to place with a probability distribution. By calculating the
net dark matter halo formation rate as a function of all four relevant
cosmological parameters and assessing other constraints, we find that this
probability distribution, computed at stable solar systems, is arguably peaked
near the observed dark matter density. If cosmologically relevant WIMP dark
matter is discovered, then one naturally expects comparable densities of WIMPs
and axions, making it important to follow up with precision measurements to
determine whether WIMPs account for all of the dark matter or merely part of
it.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:30:04 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 2005 15:30:08 GMT""},{""version"":""v3"",""created"":""Wed, 11 Jan 2006 21:29:45 GMT""}]","2008-11-26"
"cond-mat/0511713","Edmund Webb III","Gary S. Grest, David R. Heine, Edmund B. Webb III","Liquid Nanodroplets Spreading on Chemically Patterned Surfaces","12 pages, 5 figures, submitted to Langmuir",,,,"cond-mat.soft cond-mat.mtrl-sci",,"  Controlling the spatial distribution of liquid droplets on surfaces via
surface energy patterning can be used to control material delivery to specified
regions via selective liquid/solid wetting. While studies of the equilibrium
shape of liquid droplets on heterogenous substrates exist, much less is known
about the corresponding wetting kinetics. We make significant progress towards
elucidating details of this topic by studying, via large-scale atomistic
simulations, liquid nanodroplets spreading on chemically patterned surfaces. A
model is presented for lines of polymer liquid (droplets) on substrates
consisting of alternating strips of wetting (equilibrium contact angle
approximately 0 degrees) and non-wetting (equilibrium contact angle
approximately 90 degrees) material. Droplet spreading is compared for different
wavelength of the pattern and strength of surface interaction on the wetting
strips. For small wavelength, droplets partially spread on both the wetting and
non-wetting regions of the substrate to attain a finite contact angle less than
90 degrees. In this case, the extent of spreading depends on the interaction
strength in the wetting regions. A transition is observed such that, for large
wavelength, the droplet spreads only on the wetting region of the substrate by
pulling material from non-wetting regions. In most cases, a precursor film
spreads on the wetting portion of the substrate at a rate strongly dependent
upon interaction strength.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 20:10:16 GMT""}]","2007-05-23"
"cond-mat/0511714","Fathollah Varnik","Fathollah Varnik and Oliver Henrich","Yield Stress Discontinuity in a Simple Glass","4 pages, 5 figures",,"10.1103/PhysRevB.73.174209",,"cond-mat.soft cond-mat.stat-mech",,"  Large scale molecular dynamics simulations are performed to study the steady
state yielding dynamics of a well established simple glass. In contrast to the
supercooled state, where the shear stress, $\sigma$, tends to zero at vanishing
shear rate, $\gammadot$, a stress plateau forms in the glass which extends over
about two decades in shear rate. This strongly suggests the existence of a
finite dynamic yield stress in the glass, $\sigma^+ (T) \equiv \sigma(T;
\gammadot \to 0) >0$. Furthermore, the temperature dependence of $\sigma^+$
suggests a yield stress discontinuity at the glass transition in agreement with
recent theoretical predictions. We scrutinize and support this observation by
testing explicitly for the assumptions (affine flow, absence of flow induced
ordering) inherent in the theory. Also, a qualitative change of the flow curves
enables us to bracket the glass transition temperature $T_c$ of the theory from
above and (for the first time in simulations) {\it from below}. Furthermore,
the structural relaxation time in the steady state behaves quite similar to the
system viscosity at all studied shear rates and temperatures.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 20:22:24 GMT""}]","2009-11-11"
"cond-mat/0511716","Benjamin Ueland","B. G. Ueland, G. C. Lau, R. J. Cava, J. R. OBrien, and P. Schiffer","Slow spin relaxation in a highly polarized cooperative paramagnet","Accepted for publication in Physical Review Letters","Phys. Rev. Lett. 96, 027216 (2006)","10.1103/PhysRevLett.96.027216",,"cond-mat.stat-mech cond-mat.dis-nn",,"  We report measurements of the ac susceptibility of the cooperative paramagnet
Tb2Ti2O7 in a strong magnetic field. Our data show the expected saturation
maximum in chi(T) and also an unexpected low frequency dependence (< 1 Hz) of
this peak, suggesting very slow spin relaxations are occurring. Measurements on
samples diluted with nonmagnetic Y3+ or Lu3+ and complementary measurements on
pure and diluted Dy2Ti2O7 strongly suggest that the relaxation is associated
with dipolar spin correlations, representing unusual cooperative behavior in a
paramagnetic system.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 21:50:38 GMT""}]","2011-11-09"
"cond-mat/0511717","Zaher Salman","Z. Salman, T.J. Parolin, K.H. Chow, T.A. Keeler, R.I. Miller, D. Wang,
  W.A. MacFarlane","Muon spin relaxation study of the magnetism in unilluminated Prussian
  Blue analogue photomagnets","7 pages, 12 figures","Phys. Rev. B 73, 174427 (2006)","10.1016/j.physb.2005.11.033",,"cond-mat.str-el cond-mat.other",,"  We present longitudinal field muon spin relaxation ($\mu$SR) measurements in
the unilluminated state of the photo-sensitive molecular magnetic Co-Fe
Prussian blue analogues M$_{1-2x}$Co$_{1+x}$[Fe(CN)$_6$]$\cdot z$ H$_2$O, where
M=K and Rb with $x=0.4$ and $\simeq 0.17$, respectively. These results are
compared to those obtained in the $x=0.5$ stoichiometric limit,
Co$_{1.5}$[Fe(CN)$_6$]$\cdot 6$ H$_2$O, which is not photo-sensitive. We find
evidence for correlation between the range of magnetic ordering and the value
of $x$ in the unilluminated state which can be explained using a site
percolation model.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 21:51:57 GMT""},{""version"":""v2"",""created"":""Wed, 7 Dec 2005 01:15:07 GMT""},{""version"":""v3"",""created"":""Wed, 7 Jun 2006 08:07:35 GMT""}]","2009-11-11"
"cond-mat/0511718","Mauricio das Virgens","M.G. das Virgens (1 and 2), S. Garc\'ia (1 and 3), L. Ghivelder (1)
  ((1) Instituto de F\'isica, Universidade Federal do Rio de Janeiro, Rio de
  Janeiro, Brazil, (2) Instituto de F\'isica, Universidade Federal Fluminense,
  Niter\'oi, Rio de Janeiro, Brazil, (3) Laboratorio de Superconductividad,
  Facultad de F\'isica-IMRE, Universidad de La Habana, San L\'azaro y L, Ciudad
  de La Habana, Cuba.)","Lower critical field and intragrain critical current density in the
  ruthenate-cuprate RuSr$_{2}$Gd$_{1.5}$Ce$_{0.5}$Cu$_{2}$O$_{10}$","7 pages, 6 figures, accepted for publication in European Physical
  Journal B",,"10.1140/epjb/e2006-00043-y",,"cond-mat.supr-con",,"  The lower critical field of the grains, $H_{c1}$, and the intragrain critical
current density, $J_{c}$, were determined for the superconducting
ruthenate-cuprate RuSr$_{2}$Gd$_{1.5}$Ce$_{0.5}$Cu$_{2}$O$_{10-\delta}$
[Ru-1222(Gd)] through a systematic study of the hysteresis in magnetoresistance
loops. A reliable method, based on the effects of the magnetization of the
grains on the net local field at the intergranular junctions is provided,
circumventing the problem of the strong masking of the superconducting
diamagnetic signal by the ferromagnetic background. The temperature dependency
of $H_{c1}$ and $J_{c}$ both exhibit a smooth increase on cooling without
saturation down to $T/T_{SC}$ $\cong $ 0.2. The obtained $H_{c1}$ values vary
between 150 and 1500 Oe in the 0.2 $\leq $ $% T/T_{SC}$ $\leq $ 0.4 interval,
for samples annealed in an oxygen flow; oxygenation under high pressure (50
atm) leads to a further increase. These values are much larger than the
previously reported rough assessments (25-50 Oe), using conventional
magnetization measurements. High $J_{c}$ values of $% \sim $ 10$^{7}$
A/cm$^{2}$, comparable to the high-T$_{c}$ cuprates, were obtained. The
$H_{c1}(T)$ and $J_{c}(T)$ dependencies are explained in the context of a
magnetic phase separation scenario.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 22:22:59 GMT""}]","2009-11-11"
"cond-mat/0511719","Roman Lopez-Sandoval","R. Lopez-Sandoval (Instituto Potosino de Investigacion Cientifica y
  Tecnologica, Camino a la presa San Jose 2055, San Luis Potosi, Mexico) and
  Martin E. Garcia (Universitat Kassel and Center for Interdisciplinary
  Nanostructure Science and Technology (CINSaT), Kassel, Germany)","Enhancement of entanglement in one-dimensional disordered systems","21 pages, 9 figures",,"10.1103/PhysRevB.74.174204",,"cond-mat.dis-nn",,"  The pairwise quantum entanglement of sites in disordered electronic
one-dimensional systems (rings) is studied. We focus on the effect of diagonal
and off diagonal disorder on the concurrence $C_{ij}$ between electrons on
neighbor and non neighbor sites $i,j$ as a function of band filling. In the
case of diagonal disorder, increasing the degree of disorder leads to a
decrease of the concurrence with respect to the ordered case. However,
off-diagonal disorder produces a surprisingly strong enhancement of
entanglement. This remarkable effect occurs near half filling, where the
concurrence becomes up to 15% larger than in the ordered system.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 00:47:18 GMT""}]","2009-11-11"
"cond-mat/0511720","Emile Hoskinson","E. Hoskinson, Y. Sato, I. Hahn and R. E. Packard","Transition from phase slips to the Josephson effect in a superfluid 4He
  weak link","12 pages, 4 figures",,"10.1038/nphys190",,"cond-mat.supr-con",,"  The rich dynamics of flow between two weakly coupled macroscopic quantum
reservoirs has led to a range of important technologies. Practical development
has so far been limited to superconducting systems, for which the basic
building block is the so-called superconducting Josephson weak link. With the
recent observation of quantum oscillations in superfluid 4He near 2K, we can
now envision analogous practical superfluid helium devices. The characteristic
function which determines the dynamics of such systems is the current-phase
relation Is(phi), which gives the relationship between the superfluid current
Is flowing through a weak link and the quantum phase difference phi across it.
Here we report the measurement of the current-phase relation of a superfluid
4He weak link formed by an array of nano-apertures separating two reservoirs of
superfluid 4He. As we vary the coupling strength between the two reservoirs, we
observe a transition from a strongly coupled regime in which Is(phi) is linear
and flow is limited by 2pi phase slips, to a weak coupling regime where Is(phi)
becomes the sinusoidal signature of a Josephson weak link.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 01:01:42 GMT""}]","2015-06-25"
"cond-mat/0511721","Dam Thanh Son","D.T. Son","Vanishing bulk viscosities and conformal invariance of unitary Fermi gas","4 pages","Phys.Rev.Lett. 98 (2007) 020604","10.1103/PhysRevLett.98.020604","INT-PUB 05-29","cond-mat.other cond-mat.supr-con hep-ph nucl-th",,"  By requiring general-coordinate and conformal invariance of the hydrodynamic
equations, we show that the unitary Fermi gas has zero bulk viscosity, zeta=0,
in the normal phase. In the superfluid phase, two of the bulks viscosities have
to vanish, zeta_1=zeta_2=0, while the third one zeta_3 is allowed to be
nonzero.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 01:29:01 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jan 2007 17:30:33 GMT""}]","2007-05-23"
"cond-mat/0511722","James Rabeau","J. R. Rabeau*, P. Reichart, G. Tamanyan, D. N. Jamieson, S. Prawer, F.
  Jelezko, T. Gaebel, I. Popa, M. Domhan, J. Wrachtrup","Implantation of labelled single nitrogen vacancy centers in diamond
  using 15N","14 pages, 3 figures, to appear in Applied Physics Letters","Applied Physics Letters 88, 023113 (2006)","10.1063/1.2158700",,"cond-mat.mtrl-sci",,"  Nitrogen-vacancy (NV-) color centers in diamond were created by implantation
of 7 keV 15N (I = 1/2) ions into type IIa diamond. Optically detected magnetic
resonance was employed to measure the hyperfine coupling of the NV- centers.
The hyperfine spectrum from 15NV- arising from implanted 15N can be
distinguished from 14NV- centers created by native 14N (I = 1) sites. Analysis
indicates 1 in 40 implanted 15N atoms give rise to an optically observable
15NV- center. This report ultimately demonstrates a mechanism by which the
yield of NV- center formation by nitrogen implantation can be measured.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 05:14:56 GMT""},{""version"":""v2"",""created"":""Thu, 22 Dec 2005 09:42:01 GMT""},{""version"":""v3"",""created"":""Tue, 18 Apr 2006 23:17:40 GMT""}]","2009-11-11"
"cond-mat/0511723","Dmitri Nikonov","Siyuranga O. Koswatta, Sayed Hasan, and Mark S. Lundstrom, M. P.
  Anantram, and Dmitri E. Nikonov","Ballisticity of nanotube FETs: Role of phonon energy and gate bias","16 pages, 1 table, 4 figures",,"10.1063/1.2218322",,"cond-mat.mes-hall cond-mat.mtrl-sci",,"  We investigate the role of electron-phonon scattering and gate bias in
degrading the drive current of nanotube MOSFETs. Our central results are: (i)
Optical phonon scattering significantly decreases the drive current only when
gate voltage is higher than a well-defined threshold. It means that elastic
scattering mechanisms are most detrimental to nanotube MOSFETs. (ii) For
comparable mean free paths, a lower phonon energy leads to a larger degradation
of drive current. Thus for semiconducting nanowire FETs, the drive current will
be more sensitive than carbon nanotube FETs because of the smaller phonon
energies in semiconductors. (iii) Radial breathing mode phonons cause an
appreciable reduction in drive current.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 05:22:00 GMT""}]","2009-11-11"
"cond-mat/0511724","Jian Li","Jian Li, Xi Dai, Shun-Qing Shen, and Fu-Chun Zhang","Transverse electric current induced by optically injected spin current
  in cross-shaped InGaAs/InAlAs system","5 pages, 3 figures","Appl. Phys. Lett. 88, 162105 (2006)","10.1063/1.2196230",,"cond-mat.mes-hall",,"  We examine electric response of a linearly polarized light normally shed on a
cross-shaped quasi 2-dimensional InGaAs/InAlAs system with structure inversion
asymmetry. The photo-excited conduction electrons carry a pure spin current
with in-plane spin polarization due to the Rashba spin-orbit interaction. We
use Landauer-B\""{u}ttiker formalism to show that this spin current induces two
inward or outward transverse charge currents, which are observable in
experiments. This effect may serve as an experimental probe of certain types of
spin current.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 06:16:45 GMT""}]","2009-11-11"
"cond-mat/0511725","Murray Batchelor","M.T. Batchelor, X.W. Guan and N. Oelkers","Theoretical analysis of the double spin chain compound KCuCl_3","9 pages, 4 figures, for Proceedings of DGMTP, Nankai, 20-26 August
  2005",,,,"cond-mat.stat-mech",,"  We investigate thermal and magnetic properties of the double spin chain
compound KCuCl_3 via an exactly solved ladder model with strong rung
interaction. Results from the analysis of the thermodynamic Bethe Ansatz
equations suggests the critical field values H_{c1}=22.74T and H_{c2}=51.34T,
in good agreement with the experimental observations. The temperature dependent
magnetic properties are directly evaluated from the exact free energy. Good
overall agreement is seen between the theoretical and experimental
susceptibility curves. Our results suggest that this compound lies in the
strong dimerized phase with an energy gap $\Delta \approx 35$K at zero
temperature.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 07:21:27 GMT""}]","2007-05-23"
"cond-mat/0511726","Michele Tumminello","M. Tumminello, F. Lillo, R.N. Mantegna","Hierarchically nested factor model from multivariate data","7 pages, 5 figures; accepted for publication in Europhys. Lett. ; the
  Appendix corresponds to the additional material of the accepted letter.","Europhys. Lett. 78, 30006 (2007)","10.1209/0295-5075/78/30006",,"cond-mat.dis-nn cond-mat.other",,"  We show how to achieve a statistical description of the hierarchical
structure of a multivariate data set. Specifically we show that the similarity
matrix resulting from a hierarchical clustering procedure is the correlation
matrix of a factor model, the hierarchically nested factor model. In this
model, factors are mutually independent and hierarchically organized. Finally,
we use a bootstrap based procedure to reduce the number of factors in the model
with the aim of retaining only those factors significantly robust with respect
to the statistical uncertainty due to the finite length of data records.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 08:34:54 GMT""},{""version"":""v2"",""created"":""Mon, 2 Apr 2007 11:34:26 GMT""}]","2007-06-07"
"cond-mat/0511727","Mathias Michel","Mathias Michel, Jochen Gemmer and Guenter Mahler","Application of the Hilbert Space Average Method on Heat Conduction
  Models","10 pages, 8 figures, accepted for publication in Phys. Rev. E","Phys. Rev. E 73, 016101 (2006)","10.1103/PhysRevE.73.016101",,"cond-mat.stat-mech quant-ph",,"  We analyze closed one-dimensional chains of weakly coupled many level
systems, by means of the so-called Hilbert space average method (HAM). Subject
to some concrete conditions on the Hamiltonian of the system, our theory
predicts energy diffusion with respect to a coarse-grained description for
almost all initial states. Close to the respective equilibrium we investigate
this behavior in terms of heat transport and derive the heat conduction
coefficient. Thus, we are able to show that both heat (energy) diffusive
behavior as well as Fourier's law follows from and is compatible with a
reversible Schroedinger dynamics on the complete level of description.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 09:22:32 GMT""}]","2007-05-23"
"cond-mat/0511728","Alessandro Pelizzola","A. Pelizzola","Exactness of the cluster variation method and factorization of the
  equilibrium probability for the Wako-Saito-Munoz-Eaton model of protein
  folding","14 pages, 1 figure","J. Stat. Mech. P11010 (2005)","10.1088/1742-5468/2005/11/P11010",,"cond-mat.stat-mech",,"  I study the properties of the equilibrium probability distribution of a
protein folding model originally introduced by Wako and Saito, and later
reconsidered by Munoz and Eaton. The model is a one-dimensional model with
binary variables and many-body, long-range interactions, which has been solved
exactly through a mapping to a two-dimensional model of binary variables with
local constraints. Here I show that the equilibrium probability of this
two-dimensional model factors into the product of local cluster probabilities,
each raised to a suitable exponent. The clusters involved are single sites,
nearest-neighbour pairs and square plaquettes, and the exponents are the
coefficients of the entropy expansion of the cluster variation method. As a
consequence, the cluster variation method is exact for this model.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 09:47:41 GMT""}]","2007-05-23"
"cond-mat/0511729","Michael Potthoff","Michael Potthoff","Systematics of approximations constructed from dynamical variational
  principles","14 pages, 5 figures, for the proceedings of the conference on
  ''Effective Models for Low-Dimensional Strongly Correlated Systems'',
  Peyresq, September 2005, to be published by AIP",,"10.1063/1.2178030",,"cond-mat.str-el",,"  The systematics of different approximations within the self-energy-functional
theory (SFT) is discussed for fermionic lattice models with local interactions.
In the context of the SFT, an approximation is essentially given by specifying
a reference system with the same interaction but a modified non-interacting
part of the Hamiltonian which leads to a partial decoupling of degrees of
freedom. The reference system defines a space of trial self-energies on which
an optimization of the grand potential as a functional of the self-energy
Omega[Sigma] is performed. As a stationary point is not a minimum in general
and does not provide a bound for the exact grand potential, however, it is {\em
a priori} unclear how to judge on the relative quality of two different
approximations. By analyzing the Euler equation of the SFT variational
principle, it is shown that a stationary point of the functional on a subspace
given by a reference system composed of decoupled subsystems is also a
stationary point in case of the coupled reference system. On this basis a
strategy is suggested which generates a sequence of systematically improving
approximations. The discussion is actually relevant for any variational
approach that is not based on wave functions and the Rayleigh-Ritz principle.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 10:10:13 GMT""}]","2009-11-11"
"cond-mat/0511730","Alex Arenas","Alex Arenas, Albert Diaz-Guilera and Conrad J. Perez-Vicente","Synchronization reveals topological scales in complex networks","4 pages, 3 figures","Physical Review Letters, vol. 96, 114102, (2006)","10.1103/PhysRevLett.96.114102",,"cond-mat.dis-nn nlin.AO",,"  We study the relationship between topological scales and dynamic time scales
in complex networks. The analysis is based on the full dynamics towards
synchronization of a system of coupled oscillators. In the synchronization
process, modular structures corresponding to well defined communities of nodes
emerge in different time scales, ordered in a hierarchical way. The analysis
also provides a useful connection between synchronization dynamics, complex
networks topology and spectral graph analysis.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 10:58:17 GMT""},{""version"":""v2"",""created"":""Thu, 1 Dec 2005 10:07:50 GMT""}]","2009-11-11"
"cond-mat/0511731","Oliver Waldmann","O. Waldmann, C. Dobe, S. T. Ochsenbein, H. U. G\""udel, I. Sheikin","Field-induced magnetoelastic instabilities in antiferromagnetic
  molecular wheels","4 pages, 3 figures, REVTEX4, to appear in PRL","Phys. Rev. Lett. 96, 027206 (2006)","10.1103/PhysRevLett.96.027206",,"cond-mat.other",,"  The magnetic torque of the antiferromagnetic molecular wheel CsFe8 was
studied down to 50 mK and in fields up to 28 T. Below ca. 0.5 K phase
transitions were observed at the field-induced level-crossings (LCs).
Intermolecular magnetic interactions are very weak excluding an explanation in
terms of field-induced magnetic ordering. A magneto-elastic coupling was
considered. A generic model shows that the wheel structure is unconditionally
unstable at the LCs, and the predicted torque curves explain the essential
features of the data well.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 11:15:48 GMT""}]","2009-11-11"
"cond-mat/0511732","Thomas Barthel","Huan-Qiang Zhou, Thomas Barthel, John Ove Fjaerestad and Ulrich
  Schollwoeck","Entanglement and boundary critical phenomena","4 pages, 2 figures","Phys. Rev. A 74, 050305(R) (2006)","10.1103/PhysRevA.74.050305",,"cond-mat.str-el quant-ph",,"  We investigate boundary critical phenomena from a quantum information
perspective. Bipartite entanglement in the ground state of one-dimensional
quantum systems is quantified using the Renyi entropy S_alpha, which includes
the von Neumann entropy (alpha=1) and the single-copy entanglement
(alpha=infinity) as special cases. We identify the contribution from the
boundary entropy to the Renyi entropy, and show that there is an entanglement
loss along boundary renormalization group (RG) flows. This property, which is
intimately related to the Affleck-Ludwig g-theorem, can be regarded as a
consequence of majorization relations between the spectra of the reduced
density matrix along the boundary RG flows. We also point out that the bulk
contribution to the single-copy entanglement is half of that to the von Neumann
entropy, whereas the boundary contribution is the same.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 11:23:26 GMT""}]","2007-05-23"
"cond-mat/0511733","Yasuhiro Niimi","Y. Niimi, H. Kambara, T. Matsui, D. Yoshioka, and Hiroshi Fukuyama","Real-Space Imaging of Alternate Localization and Extension of Quasi
  Two-Dimensional Electronic States at Graphite Surfaces in Magnetic Fields","4 pages, 4 figures","Phys. Rev. Lett. 97, 236804 (2006)","10.1103/PhysRevLett.97.236804",,"cond-mat.mes-hall cond-mat.dis-nn",,"  We measured the local density of states (LDOS) of a quasi two-dimensional
(2D) electron system near point defects on a surface of highly oriented
pyrolytic graphite (HOPG) with scanning tunneling microscopy and spectroscopy.
Differential tunnel conductance images taken at very low temperatures and in
high magnetic fields show a clear contrast between localized and extended
spatial distributions of the LDOS at the valley and peak energies of the Landau
level spectrum, respectively. The localized electronic state has a single
circular distribution around the defects with a radius comparable to the
magnetic length. The localized LDOS is in good agreement with a spatial
distribution of a calculated wave function for a single electron in 2D in a
Coulomb potential in magnetic fields.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 13:39:29 GMT""},{""version"":""v2"",""created"":""Thu, 16 Mar 2006 18:36:59 GMT""},{""version"":""v3"",""created"":""Thu, 26 Oct 2006 03:21:17 GMT""},{""version"":""v4"",""created"":""Fri, 22 Dec 2006 07:43:26 GMT""}]","2009-11-11"
"cond-mat/0511734","Andras Csordas","Andras Csordas, Eva Szoke, and Peter Szepfalusy","Cluster states of Fermions in the single l-shell model","11 pages, 2 figures",,,,"cond-mat.other",,"  The paper concerns the ground state structure of the partly filled l-shell of
a fermionic gas of atoms of spin s in a spherically symmetric spin independent
trap potential. At particle numbers N=n(2s+1), n=1,2,...,2l+1 the basic
building blocks are clusters consisting of (2s+1) atoms, whose wave functions
are completely symmetric and antisymmetric in space and spin variables,
respectively. The creation operator of a cluster is constructed whose repeated
application to the vacuum leads to the multi-cluster state. Ground state energy
expressions are derived for the n-cluster states at different l,s values and
interpreted in simple terms.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 11:50:35 GMT""}]","2007-05-23"
"cond-mat/0511735","Paolo Visco","P. Visco, A. Puglisi, A. Barrat, F. van Wijland, E. Trizac","Energy fluctuations in vibrated and driven granular gases","13 pages, 10 figures","Eur. Phys. J. B 51, 377-387 (2006)","10.1140/epjb/e2006-00230-x",,"cond-mat.stat-mech",,"  We investigate the behavior of energy fluctuations in several models of
granular gases maintained in a non-equilibrium steady state. In the case of a
gas heated from a boundary, the inhomogeneities of the system play a
predominant role. Interpreting the total kinetic energy as a sum of independent
but not identically distributed random variables, it is possible to compute the
probability density function (pdf) of the total energy. Neglecting correlations
and using the analytical expression for the inhomogeneous temperature profile
obtained from the granular hydrodynamic equations, we recover results which
have been previously observed numerically and which had been attributed to the
presence of correlations. In order to separate the effects of spatial
inhomogeneities from those ascribable to velocity correlations, we have also
considered two models of homogeneously thermostated gases: in this framework it
is possible to reveal the presence of non-trivial effects due to velocity
correlations between particles. Such correlations stem from the inelasticity of
collisions. Moreover, the observation that the pdf of the total energy tends to
a Gaussian in the large system limit, suggests that they are also due to the
finite size of the system.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 13:01:23 GMT""}]","2007-05-23"
"cond-mat/0511736","Marcello Lissia","Massmimo Coraddu, Marcello Lissia, and Roberto Tonelli","Statistical descriptions of nonlinear systems at the onset of chaos","RevTeX preprint 10 pages, 4 figures, to appear in The European
  Physical Journal B","Physica A365:252-257,2006","10.1016/j.physa.2006.01.007",,"cond-mat.stat-mech hep-th nlin.CD physics.data-an",,"  Ensemble of initial conditions for nonlinear maps can be described in terms
of entropy. This ensemble entropy shows an asymptotic linear growth with rate
K. The rate K matches the logarithm of the corresponding asymptotic sensitivity
to initial conditions \lambda. The statistical formalism and the equality
K=\lambda can be extended to weakly chaotic systems by suitable and
corresponding generalizations of the logarithm and of the entropy. Using the
logistic map as a test case we consider a wide class of deformed statistical
description which includes Tsallis, Abe and Kaniadakis proposals. The physical
criterion of finite-entropy growth K strongly restricts the suitable entropies.
We study how large is the region in parameter space where the generalized
description is useful.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 14:10:39 GMT""}]","2011-01-04"
"cond-mat/0511737","Philippe Bouyer","Robert A. Nyman (LCFIO), Gael Varoquaux (LCFIO), Brice Villier
  (LCFIO), Delphine Sacchet (LCFIO), Fr\'ed\'eric Moron (LCFIO), Yann Le Coq
  (LCFIO), Alain Aspect (LCFIO), Philippe Bouyer (LCFIO)","Tapered-amplified AR-coated laser diodes for Potassium and Rubidium
  atomic-physics experiments",,"Rev. Sci. Instrum., 77, 033105 (2006)","10.1063/1.2186809",,"cond-mat.other physics.atom-ph physics.optics",,"  We present a system of room-temperature extended-cavity grating-diode lasers
(ECDL) for production of light in the range 760-790nm. The extension of the
tuning range towards the blue is permitted by the weak feedback in the cavity:
the diodes are anti-reflection coated, and the grating has just 10%
reflectance. The light is then amplified using semiconductor tapered amplifiers
to give more than 400mW of power. The outputs are shown to be suitable for
atomic physics experiments with potassium (767nm), rubidium (780nm) or both, of
particular relevance to doubly-degenerate boson-fermion mixtures.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 14:31:26 GMT""}]","2010-03-19"
"cond-mat/0511738","Brian M. Andersen","Brian M. Andersen, I. V. Bobkova, P. J. Hirschfeld, Yu. S. Barash","0-pi transitions in Josephson junctions with antiferromagnetic
  interlayers","4 pages, 2 figures","Phys. Rev. Lett. 96, 117005 (2006)","10.1103/PhysRevLett.96.117005",,"cond-mat.supr-con cond-mat.mes-hall",,"  We show that the dc Josephson current through
superconductor-antiferromagnet-superconductor (S/AF/S) junctions manifests a
remarkable atomic scale dependence on the interlayer thickness. At low
temperatures the junction is either a 0- or pi-junction depending on whether
the AF interlayer consists of an even or odd number of atomic layers. This is
associated with different symmetries of the AF interlayers in the two cases. In
the junction with odd AF interlayers an additional pi-0 transition can take
place as a function of temperature. This originates from the interplay of
spin-split Andreev bound states. Experimental implications of these theoretical
findings are discussed.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 14:54:49 GMT""}]","2009-11-11"
