"astro-ph/0511410","Kris Sigurdson","Nicole F. Bell (Caltech), Elena Pierpaoli (Caltech), and Kris
  Sigurdson (Caltech and IAS)","Cosmological Signatures of Interacting Neutrinos","17 pages, 14 figures, minor changes and references added, published
  in Phys. Rev. D","Phys.Rev. D73 (2006) 063523","10.1103/PhysRevD.73.063523","KRL-MAP-309","astro-ph hep-ph",,"  We investigate signatures of neutrino scattering in the Cosmic Microwave
Background (CMB) and matter power spectra, and the extent to which present
cosmological data can distinguish between a free streaming or tightly coupled
fluid of neutrinos. If neutrinos have strong non-standard interactions, for
example, through the coupling of neutrinos to a light boson, they may be kept
in equilibrium until late times. We show how the power spectra for these models
differ from more conventional neutrino scenarios, and use CMB and large scale
structure data to constrain these models. CMB polarization data improves the
constraints on the number of massless neutrinos, while the Lyman--$\alpha$
power spectrum improves the limits on the neutrino mass. Neutrino mass limits
depend strongly on whether some or all of the neutrino species interact and
annihilate. The present data can accommodate a number of tightly-coupled
relativistic degrees of freedom, and none of the interacting-neutrino scenarios
considered are ruled out by current data -- although considerations regarding
the age of the Universe disfavor a model with three annihilating neutrinos with
very large neutrino masses.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:32:21 GMT""},{""version"":""v2"",""created"":""Sat, 1 Apr 2006 01:01:51 GMT""}]","2007-05-23"
"astro-ph/0511477","Nora Loiseau","E. Giacani, N. Loiseau, G. Dubner, M.J.S. Smith","Radio and X-Ray Emission Associated with the Supernova Remnant
  G352.7-0.1","2 pages, 2 figures. To appear in the proceedings of ""The X-Ray
  Universe 2005"" conference, 2005 Sept 26-30, El Escorial, Madrid, Spain",,,,"astro-ph",,"  We report on new VLA radio and XMM-Newton X-ray observations of the SNR
G352.7-0.1. These high sensitivity, high resolution data reveal that G352.7-0.1
belongs to the thermal composite morphological class. Small scale structures in
radio and X-ray emission are not always correlated and are different for the
different X-rays bands examined. The distance to G352.7-0.1 can be constrained
between 6.6 and 8.4 kpc. The study of the HI suggests that G352.7-0.1 is
located within a cavity probably created by the stellar wind of the precursor
star.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 11:56:58 GMT""}]","2007-05-23"
"astro-ph/0511478","Stephen O'Sullivan","Stephen O'Sullivan, Turlough P. Downes","An explicit scheme for multifluid magnetohydrodynamics","8 pages; 4 figures; accepted by MNRAS; minor corrections to
  equations; addition of appendix","Mon.Not.Roy.Astron.Soc.366:1329-1336,2006","10.1111/j.1365-2966.2005.09898.x",,"astro-ph",,"  When modeling astrophysical fluid flows, it is often appropriate to discard
the canonical magnetohydrodynamic approximation thereby freeing the magnetic
field to diffuse with respect to the bulk velocity field. As a consequence,
however, the induction equation can become problematic to solve via standard
explicit techniques. In particular, the Hall diffusion term admits fast-moving
whistler waves which can impose a vanishing timestep limit.
  Within an explicit differencing framework, a multifluid scheme for weakly
ionised plasmas is presented which relies upon a new approach to integrating
the induction equation efficiently. The first component of this approach is a
relatively unknown method of accelerating the integration of parabolic systems
by enforcing stability over large compound timesteps rather than over each of
the constituent substeps. This method, Super Time Stepping, proves to be very
effective in applying a part of the Hall term up to a known critical value. The
excess of the Hall term above this critical value is then included via a new
scheme for pure Hall diffusion.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 14:18:44 GMT""},{""version"":""v2"",""created"":""Fri, 18 Nov 2005 16:12:05 GMT""},{""version"":""v3"",""created"":""Wed, 23 Nov 2005 12:24:56 GMT""}]","2009-11-13"
"astro-ph/0511479","Joerg-Uwe Pott","J.-U. Pott, A. Eckart, M. Krips, L. Tacconi-Garman, and E. Lindt","Search for dense molecular gas in QSO hosts","4 pages, 3 figures, submitted to ""QSO Hosts: Evolution and
  Environment"", P.D. Barthel, D.B. Sanders, eds., August 2005, Leiden
  University (The Netherlands), New Astr. Rev",,"10.1016/j.newar.2006.06.017",,"astro-ph",,"  We present the results of a recently conducted mm-experiment at the IRAM 30m
telescope. We searched in two QSO hosts for the HCN(J=1-0) line emission
tracing the dense regions of gas. Our goal is to probe the HCN-CO line ratio in
QSO hosts for the first time and to compare the results with recent findings of
quiescent galaxies. These findings indicate a strong correlation between the
star formation efficiency and the HCN-CO line ratio over several orders of
magnitudes in infrared luminosities.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 12:28:30 GMT""}]","2009-11-11"
"astro-ph/0511480","Keiichi Maeda","K. Maeda","Three Dimensional Simulation of Gamma Ray Emission from Asymmetric
  Supernovae and Hypernovae","24 pages, 13 figures. Figure 7 added in the accepted version. ApJ,
  644 (01 June 2006 issue), in press. Resolution of figures lower than the
  published version","Astrophys.J.644:385-399,2006","10.1086/503415",,"astro-ph",,"  Hard X- and $\gamma$-ray spectra and light curves resulting from radioactive
decays are computed for aspherical (jet-like) and energetic supernova models
(representing a prototypical hypernova SN 1998bw), using a 3D energy- and
time-dependent Monte Carlo scheme. The emission is characterized by (1) early
emergence of high energy emission, (2) large line-to-continuum ratio, and (3)
large cut-off energy by photoelectric absorptions in hard X-ray energies. These
three properties are not sensitively dependent on the observer's direction. On
the other hand, fluxes and line profiles depend sensitively on the observer's
direction, showing larger luminosity and larger degree of blueshift for an
observer closer to the polar ($z$) direction. Strategies to derive the degree
of asphericity and the observer's direction from (future) observations are
suggested on the basis of these features, and an estimate on detectability of
the high energy emission by the {\it INTEGRAL} and future observatories is
presented. Also presented is examination on applicability of a gray effective
$\gamma$-ray opacity for computing the energy deposition rate in the aspherical
SN ejecta. The 3D detailed computations show that the effective $\gamma$-ray
opacity $\kappa_{\gamma} \sim 0.025 - 0.027$ cm$^{2}$ g$^{-1}$ reproduces the
detailed energy-dependent transport for both spherical and aspherical
(jet-like) geometry.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 13:01:50 GMT""},{""version"":""v2"",""created"":""Fri, 24 Mar 2006 04:49:40 GMT""}]","2009-11-13"
"astro-ph/0511481","Giuseppina Fabbiano","G. Fabbiano","X-ray source populations in galaxies","40 pages. This is a review submitted to Annual Review of Astronomy &
  Astrophysics Comments are welcome and will be considered in a revised version","Ann.Rev.Astron.Astrophys.44:323-366,2006","10.1146/annurev.astro.44.051905.092519",,"astro-ph",,"  Today's sensitive, high-resolution X-ray observations allow the study of
populations of X-ray sources, in the luminosity range of Galactic X-ray
binaries, in galaxies as distant as 20-30 Mpc. The traditional astronomical
tools of photometric diagrams and luminosity functions are now applied to these
populations, providing a direct probe of the evolved binary component of
different stellar populations. The study of the X-ray populations of E and S0
galaxies has revamped the debate on the formation and evolution of low-mass
X-ray binaries (LMXBs) and on the role of globular clusters in these processes.
While overall stellar mass drives the amount of X-ray binaries in old stellar
populations, the amount of sources in star forming galaxies is related to the
star formation rate. Short-lived, luminous, high-mass binaries (HMXBs) dominate
these young populations. The most luminous sources in these systems are the
debated ULXs, which have been suggested to be ~100-1000 Msol black holes, but
could alternatively include a number of binaries with stellar mass black holes.
Very soft sources have also been discovered in many galaxies and their nature
is currently being debated. Observations of the deep X-ray sky, and comparison
with deep optical surveys, are providing the first evidence of the X-ray
evolution of galaxies.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 13:45:27 GMT""}]","2009-11-13"
"astro-ph/0511482","Mar\'ia Emilia De Rossi","Maria Emilia De Rossi (1), Patricia Beatriz Tissera (1), Cecilia
  Scannapieco (1) ((1) Institute for Astronomy and Space Physics, Ciudad de
  Buenos Aires, Argentina)","Study of the Origin of the Luminosity-Metallicity and the Stellar
  Mass-Metallicity Relations in Hierarchical Universes","Presented at the 48th Annual Meeting of the Argentine Astronomical
  Society. Accepted for publication in BAAA. 4 pages, baaa-eng.sty",,,,"astro-ph",,"  In this work, we study the Luminosity-Metallicity relation (LMR) and the
Stellar Mass -Metallicity relation (MMR) of galactic systems in a hierarhical
clustering scenario. We performed numerical hydrodynamical simulations with the
chemical GADGET-2 of Scannapieco et al.(2005) in a LCDM universe.
  We found that our simulated galactic systems reproduce the observed local LMR
and its evolution in zero point and slope. The simulated MMR is also in
agreement with recent observational results. From the analysis of the evolution
of the MMR, we found a characteristic mass at ~10^(10.2) M_sun / h which
separates two galactic populations with different astrophysical properties.
More massive systems tend to have their stars formed at z > 2 and show less
evolution than smaller systems. Hence, this characteristic mass is determined
by the formation of the structure in a hierarchical scenario. Our results also
suggest the need for important supernova feedback.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 14:30:42 GMT""},{""version"":""v2"",""created"":""Tue, 2 May 2006 21:28:50 GMT""}]","2007-05-23"
"astro-ph/0511483","Markus Ahlers","Markus Ahlers","Strongly Interacting Astrophysical Neutrinos","3 pages, 2 figures, to appear in the proceedings of the Erice
  School/Workshop on Neutrinos, 2005","Prog.Part.Nucl.Phys.57:353-355,2006","10.1016/j.ppnp.2005.11.026","DESY 05-234","astro-ph",,"  The origin and chemical composition of ultra high energy cosmic rays is still
an open question in astroparticle physics. The observed large-scale isotropy
and also direct composition measurements can be interpreted as an extragalactic
proton dominance above the ankle at about 10^10 GeV. Photopion production of
extragalactic protons in the cosmic microwave background predicts a cutoff at
about 5x10^10 GeV in conflict with excesses reported by some experiments. In
this report we will outline a recent statistical analysis (astro-ph/0506698) of
cosmic ray data using strongly interacting neutrinos as primaries for these
excesses.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:06:46 GMT""}]","2009-11-13"
"astro-ph/0511484","Antonio Chrysostomou","D.K. Aitken, J.H. Hough, A. Chrysostomou","Circular Polarimetry and the Line of Sight to the BN Object","9 pages, 4 figures, accepted for MNRAS","Mon.Not.Roy.Astron.Soc.366:491-498,2006","10.1111/j.1365-2966.2005.09873.x",,"astro-ph",,"  The 3.1 micron absorption feature of water-ice has been observed
spectroscopically in many molecular clouds and, when it has been observed
spectropolarimetrically, usually a corre- sponding polarization feature is
seen. Typically on these occasions, and particularly for the BN object, a
distinct position angle shift between the feature and continuum is seen, which
indicates both a fractionation of the icy material and a changing alignment
direction along the line of sight.
  Here the dependence of circular polarimetry on fractionation along the line
of sight is investigated and it is shown that the form of its spectrum,
together with the sign of the position angle shift, indicates where along the
line of sight the icy material lies. More specifically a coincidence between
the sign of the position angle displacement in the ice feature, measured north
through east, and that of the circular polarization ice feature means that the
icy grains are overlaid by bare grains. Some preliminary circular polarimetry
of BN has this characteristic and a similar situation is found in the only two
other cases for which relevant observations so far exist.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:16:43 GMT""}]","2009-11-13"
"astro-ph/0511485","Paulo M. S\'a","Paulo M. S\'a and Brigitte Tom\'e","The role of differential rotation in the evolution of the r-mode
  instability","4 pages, 2 figures, in Proceedings of the 5th International Workshop
  ""New Worlds in Astroparticle Physics"", Faro, Portugal, 8-10 January 2005",,"10.1142/9789812774439_0013",,"astro-ph",,"  We discuss the role of differential rotation in the evolution of the l=2
r-mode instability of a newly born, hot, rapidly-rotating neutron star. It is
shown that the amplitude of the r-mode saturates in a natural way at a value
that depends on the amount of differential rotation at the time the instability
becomes active. It is also shown that, independently of the saturation
amplitude of the mode, the star spins down to a rotation rate that is
comparable to the inferred initial rotation rates of the fastest pulsars
associated with supernova remnants.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:34:18 GMT""}]","2017-08-23"
"astro-ph/0511486","Rudy Wijnands","Andrew King & Rudy Wijnands","The faintest accretors","Accepted for publication in MNRAS Letter","Mon.Not.Roy.Astron.Soc.Lett.366:L31-L34,2006","10.1111/j.1745-3933.2005.00126.x",,"astro-ph",,"  Recent X-ray observations have detected a class of very faint X-ray
transients in the Galaxy which probably reveal a previously unrecognised type
of accretion on to neutron stars or black holes. We show that these systems
cannot have descended from binaries with stellar-mass components of normal
composition. Accretion of hydrogen-depleted matter on to stellar-mass black
holes can account for individual systems, but requires that these transients
should be observed to repeat within a few years, and does not explain why the
class is distinctly faint.
  Two other explanations appear to be quite natural. One invokes accretion by
neutron stars or stellar-mass black holes from companions which were already
brown dwarfs or planets when the systems formed, i.e. which did not descend
from low-mass stars. The other possibility is that these systems are the
endpoints of primordial (zero-metallicity) binaries in which the primary was
extremely massive, and collapsed to a black hole of mass > 1000 solar masses.
The (primordial) companion must by now have reached an extremely low mass (<
0.01 solar mass) and be transferring mass at a very low rate to the black hole.
This picture avoids the main difficulty encountered by models invoking
intermediate-mass black hole formation at non-primordial metallicities, and is
a natural consequence of some current ideas about Population III star
formation.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:34:34 GMT""}]","2009-11-13"
"astro-ph/0511487","Joan Schmelz","J.T. Schmelz and P.C.H. Martens","Multithermal Analysis of a CDS Coronal Loop","12 pages, 3 figures, Accepted by ApJ Letters","Astrophys.J.636:L49-L52,2005","10.1086/499773",,"astro-ph",,"  The observations from 1998 April 20 taken with the Coronal Diagnostics
Spectrometer CDS on SOHO of a coronal loop on the limb have shown that the
plasma was multi-thermal along each line of sight investigated, both before and
after background subtraction. The latter result relied on Emission Measure Loci
plots, but in this Letter, we used a forward folding technique to produce
Differential Emission Measure curves. We also calculate DEM-weighted
temperatures for the chosen pixels and find a gradient in temperature along the
loop as a function of height that is not compatible with the flat profiles
reported by numerous authors for loops observed with EIT on SOHO and TRACE. We
also find discrepancies in excess of the mathematical expectation between some
of the observed and predicted CDS line intensities. We demonstrate that these
differences result from well-known limitations in our knowledge of the atomic
data and are to be expected. We further show that the precision of the DEM is
limited by the intrinsic width of the ion emissivity functions that are used to
calculate the DEM. Hence we conclude that peaks and valleys in the DEM, while
in principle not impossible, cannot be confirmed from the data.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:40:52 GMT""}]","2009-11-13"
"cond-mat/0511363","Xinchang Zhang","X. C. Zhang, D. R. Faulhaber, and H. W. Jiang","Multiple Phases with the Same Quantized Hall Conductance in a
  Two-Subband System","Physical Review letter in press",,"10.1103/PhysRevLett.95.216801",,"cond-mat.mes-hall",,"  In a GaAs/AlGaAs two-dimensional electron system with two occupied subbands,
the experimentally determined phase diagram in the density-magnetic field plane
exhibits rich topological features. Ring-like structures are observed at even
integer filling factors, in the phase diagram. Even with the identical
quantized Hall resistance values as those given rise by the ordinary integer
quantum Hall effect due to the Landau level quantization; the activation
energies of these states within the rings are much smaller. These ring
structures cannot account for by the simple single particle picture. We argue
that ferromagnetic quantum Hall states, due to the interaction of two energy
levels with opposite spin and different subband indices, are responsible for
these unusual structures.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 17:41:08 GMT""}]","2009-11-11"
"cond-mat/0511377","Matthias Sperl","Matthias Sperl","Asymptotic Description of Schematic Models for CKN","9 pages, 3 figures, submitted to the proceedings for the '5th
  International Discussion Meeting on Relaxations in Complex Systems', July 7th
  to July 13th 2005, Lille, France","J. Non-Cryst. Solids, 4851-4856 (2006)","10.1016/j.jnoncrysol.2006.01.165",,"cond-mat.dis-nn cond-mat.stat-mech",,"  The fits of 0.4 Ca(NO_3)_2 0.6 K(NO_3) (CKN) by schematic mode-coupling
models [V. Krakoviack and C. Alba-Simionesco, J. Chem. Phys. 117, 2161-2171
(2002)] are analyzed by asymptotic expansions. The validity of both the
power-law and the Cole-Cole-peak solutions for the critical spectrum are
investigated. It is found that the critical spectrum derived from the fits is
described by both expansions equally well when both expansions are carried out
up to next-to-leading order. The expansions up to this order describe the data
for 373K over two orders of magnitude in frequency. In this regime an effective
power law omega^a can be identified where the observed exponent $a$ is smaller
than its calculated value by about 15%; this finding can be explained by
corrections to the leading-order terms in the asymptotic expansions. For higher
temperatures, even smaller effective exponents are caused by a crossover to the
alpha-peak spectrum.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:29:38 GMT""}]","2007-05-23"
"cond-mat/0511378","Francesc Malet","Francesc Malet, Marti Pi, Manuel Barranco, Enrico Lipparini","Ground state structure and conductivity of quantum wires of infinite
  length and finite width","Accepted for publication in Physical Review B",,"10.1103/PhysRevB.72.205326",,"cond-mat.mes-hall",,"  We have studied the ground state structure of quantum strips within the local
spin-density approximation, for a range of electronic densities between $\sim$
5$\times10^4$ and 2$\times10^6$ cm$^{-1}$ and several strengths of the lateral
confining potential. The results have been used to address the conductance $G$
of quantum strips. At low density, when only one subband is occupied, the
system is fully polarized and $G$ takes a value which is close to
0.7(2e$^2/h$), decreasing with increasing electron density in agreement with
experiments. At higher densities the system becomes paramagnetic and $G$ takes
a value near (2e$^2/h$), showing a similar decreasing behaviour with increasing
electron density. In both cases, the physical parameter that determines the
value of the conductance is the ratio $K/K_0$ of the compressibility of the
system over the free one.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 16:44:32 GMT""}]","2009-11-11"
"cond-mat/0511379","Kaifu Luo","Kaifu Luo, Ilkka Huopaniemi, Tapio Ala-Nissila, and See-Chen Ying","Polymer translocation through a nanopore under an applied external field","25 Pages, 10 figures. Submitted to J. Chem. Phys. J. Chem. Phys. 124,
  in press (2006)","J. Chem. Phys. 124, 114704 (2006)","10.1063/1.2179792",,"cond-mat.soft cond-mat.stat-mech q-bio.BM",,"  We investigate the dynamics of polymer translocation through a nanopore under
an externally applied field using the 2D fluctuating bond model with
single-segment Monte Carlo moves. We concentrate on the influence of the field
strength $E$, length of the chain $N$, and length of the pore $L$ on forced
translocation. As our main result, we find a crossover scaling for the
translocation time $\tau $ with the chain length from $\tau \sim N^{2\nu}$ for
relatively short polymers to $\tau \sim N^{1 + \nu}$ for longer chains, where
$\nu $ is the Flory exponent. We demonstrate that this crossover is due to the
change in the dependence of the translocation velocity v on the chain length.
For relatively short chains $v \sim N^{- \nu}$, which crosses over to $v \sim
N^{- 1}$ for long polymers. The reason for this is that with increasing $N$
there is a high density of segments near the exit of the pore, which slows down
the translocation process due to slow relaxation of the chain. For the case of
a long nanopore for which $R_\parallel $, the radius of gyration $R_{g}$ along
the pore, is smaller than the pore length, we find no clear scaling of the
translocation time with the chain length. For large $N$, however, the
asymptotic scaling $\tau \sim N^{1 + \nu}$ is recovered. In this regime, $\tau
$ is almost independent of $L$. We have previously found that for a polymer,
which is initially placed in the middle of the pore, there is a minimum in the
escape time for $R_\parallel \approx L$. We show here that this minimum
persists for a weak fields $E$ such that $EL$ is less than some critical value,
but vanishes for large values of $EL$.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 16:57:03 GMT""},{""version"":""v2"",""created"":""Tue, 21 Feb 2006 12:13:23 GMT""}]","2011-08-26"
"cond-mat/0511380","Claudio Castellano","Daniele Vilone, Claudio Castellano, Paolo Politi","Fluctuations and scaling in models for particle aggregation","25 pages. Minor changes in the main text and in some figures.
  Accepted for publication in Surface Science","Surf. Sci. 600, 2392-2401 (2006)","10.1016/j.susc.2006.04.003",,"cond-mat.mtrl-sci",,"  We consider two sequential models of deposition and aggregation for
particles. The first model (No Diffusion) simulates surface diffusion through a
deterministic capture area, while the second (Sequential Diffusion) allows the
atoms to diffuse up to \ell steps. Therefore the second model incorporates more
fluctuations than the first, but still less than usual (Full Diffusion) models
of deposition and diffusion on a crystal surface. We study the time dependence
of the average densities of atoms and islands and the island size distribution.
The Sequential Diffusion model displays a nontrivial steady-state regime where
the island density increases and the island size distribution obeys scaling,
much in the same way as the standard Full Diffusion model for epitaxial growth.
Our results also allow to gain insight into the role of different types of
fluctuations.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 17:10:13 GMT""},{""version"":""v2"",""created"":""Fri, 21 Apr 2006 10:05:37 GMT""}]","2007-05-23"
"cond-mat/0511381","Richard K Bowles","R. K. Bowles and I. Saika-Voivod","Landscapes, dynamic heterogeneity and kinetic facilitation in a simple
  off-lattice model","5 pages, 5 figures, submitted to PRE",,"10.1103/PhysRevE.73.011503",,"cond-mat.soft cond-mat.stat-mech",,"  We present a simple off-lattice hard-disc model that exhibits glassy
dynamics. The inherent structures are enumerated exactly, transitions between
metabasins are well understood, and the particle configurations that act to
facilitate dynamics are easily identified. The model readily maps to a coarse
grained dynamic facilitation description.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 17:37:55 GMT""}]","2009-11-11"
"cond-mat/0511382","Gokhan Esen","G. Esen, M.S. Fuhrer","Temperature Control of Electromigration to form Gold Nanogap Junctions","14 pages,5 figures","Applied Physics Letters 87 263101 (2005)","10.1063/1.2149174",,"cond-mat.mes-hall",,"  Controlled electromigration of gold nanowires of different cross-sectional
areas to form nanogap junctions is studied using a feedback method. A linear
correlation between the cross sectional area of the gold nanowires and the
power dissipated in the junction during electromigration is observed,
indicating that the feedback mechanism operates primarily by controlling the
temperature of the junction during electromigration. We also show that the role
of the external feedback circuit is to prevent thermal runaway; minimization of
series resistance allows controlled electromigration to a significant range of
junction resistances with a simple voltage ramp.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 20:32:54 GMT""}]","2007-12-05"
"cond-mat/0511383","Markus Mueller","M. Mueller","A Simple Model for Simple Aging in Glassy Yttrium-Hydrides",,,,,"cond-mat.dis-nn cond-mat.str-el",,"  A simple explanation for the logarithmic aging of the photoconductivity in
yttriumhydride is proposed. We show that the scaling (``simple'' aging) of the
relaxation response with the illumination time t_w is consistent with the
superposition of independently relaxing excitations with time offsets
distributed over a window of width t_w.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:10:55 GMT""}]","2007-05-23"
"cond-mat/0511384","Jose M. Carmona","J.M. Carmona, S. Jimenez, J. Polonyi and A. Tarancon","Effective field theory for He-IV",,,"10.1103/PhysRevB.73.024501",,"cond-mat.other",,"  We introduce an effective scalar field theory to describe the He-IV phase
diagram, which can be considered as a generalization of the XY model which
gives the usual lambda-transition. This theory results from a Ginzburg-Landau
Hamiltonian with higher order derivatives, which allow to produce transitions
between the superfluid, normal liquid and solid phases of He-IV. Mean field and
Monte Carlo analyses suggest that this model is able to reproduce the main
qualitative features of He-IV phase transitions.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 22:56:24 GMT""}]","2009-11-11"
"cond-mat/0511385","Jiunn-Yuan Lin","Y.-J. Chen, C.-J. Liu, J.-S. Wang, J.-Y. Lin, C. P. Sun, S. W. Huang,
  J. M. Lee, J. M. Chen, J. F. Lee, D. G. Liu, and H. D. Yang","Possible coexistence of s-wave and unconventional pairing in
  Na_xCoO_2-yH2O:a new insight from impurity effects","5 pages; 5 figures; evidence of two phases in Na_xCoO_2-yH2O from the
  specific heat experiments","A revised paper slightly different from the present manuscript is
  published as Physical Review B 76, 092501 (2007)",,,"cond-mat.supr-con cond-mat.str-el",,"  To shed light on the symmetry of the superconducting order parameter in
Na_xCoO_2-yH_2O, the Mn doping effects are studied. X-ray absorption
spectroscopy verifies that the doped Mn impurities occupy the Co sites and are
with a valance close to +4. Impurity scattering by Mn is in the unitary limit
that, however, does not lead to strong Tc suppression. This absence of the
strong impurity effects on T_c is not consistent with the simple picture of a
sign-changing order parameter. Coexistence of the s-wave and unconventional
order parameters is proposed to reconcile all existing experiments and has been
directly observed by the specific heat experiments.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 06:23:12 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 2005 12:48:24 GMT""},{""version"":""v3"",""created"":""Wed, 7 Jun 2006 12:33:20 GMT""}]","2007-09-18"
"cond-mat/0511386","Nikita Buznikov","N.A. Buznikov, A.S. Antonov, A.B. Granovsky, C.G. Kim, C.O. Kim, X.P.
  Li, S.S. Yoon","Giant magnetoimpedance in composite wires with insulator layer between
  non-magnetic core and soft magnetic shell","10 pages, 3 figures","J. Magn. Magn. Mater. 300 (2006) e63","10.1016/j.jmmm.2005.10.149",,"cond-mat.mtrl-sci",,"  A method for calculation of the magnetoimpedance in composite wires having an
insulator layer between non-magnetic core and soft magnetic shell is described.
It is assumed that the magnetic shell has a helical anisotropy and the driving
current flows through the core only. The distribution of eddy currents and
expressions for the impedance are found by means of a solution of Maxwell
equations taking into account the magnetization dynamics within the shell
governed by the Landau-Lifshitz equation. The effect of the insulator layer on
the magnetoimpedance is analyzed.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 07:26:54 GMT""}]","2007-05-23"
"cond-mat/0511387","Krivoruchko","V. N. Krivoruchko, V. Yu. Tarenkov, A.I. D'yachenko, and V.N.
  Varyukhin","Andreev Reflection and Long-Range Proximity Effect in Pb/LaCaMnO Point
  Contacts","11 pages, 7 figures",,,,"cond-mat.supr-con",,"  The Andreev reflection (AR) spectroscopy has been used to probe mutual
influence of superconducting pairing and ferromagnetic correlations in contacts
of low-temperature superconductor (S), Pb, and half-metallic ferromagnetic,
La0.65Ca0.35MnO3(LCMO). Two different AR spectra have been observed. In the
contacts without proximity effect, the AR spectra reveal a behavior typical for
superconductor/spin-polarized metal contacts. In the contacts, which we
distinguish as the proximity affected ones, a few unusual effects have been
detected. Namely, we have observed: (i) a spectacular drop in the resistance of
the contacts at the onset of the Pb superconductivity; (ii) a typical for
S/normal nonmagnetic metal contacts, excess current and doubling of the
normal-state conductance; and (iii) a much larger than it should be for
conventional superconductivity ratio of the single-particle gap to the Pb
superconducting transition temperature. The very distinct AR characteristics of
proximity affected contacts observed by us suggest unconventional (triplet)
superconducting pairing and long-range proximity effect at S/LCMO interface.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 08:56:59 GMT""}]","2007-05-23"
"cond-mat/0511388","Ionel Tifrea","M. Crisan, I. Tifrea, D Bodea, and I. Grosu","Field-induced Bose-Einstein condensation of interacting dilute magnons
  in three-dimensional spin systems: A renormalization-group study","6 pages, Revtex","PRB 72, 184414 (2005)","10.1103/PhysRevB.72.184414",,"cond-mat.mtrl-sci",,"  We use the Renormalization Group method to study the magnetic field influence
on the Bose-Einstein condensation of interacting dilute magnons in three
dimensional spin systems. We first considered a model with SU(2) symmetry
(universality class $z=1$) and we obtain for the critical magnetic field a
power law dependence on the critical temperature, $[H_c(T)-H_c(0)]\sim T^2$. In
the case of U(1) symmetry (universality class $z=2$) the dependence is
different, and the magnetic critical field depends linearly on the critical
temperature, $[H_c(T)-H_c(0)]\sim T$. By considering a more relevant model,
which includes also the system's anisotropy, we obtain for the same symmetry
class a $T^{3/2}$ dependence of the magnetic critical field on the critical
temperature. We discuss these theoretical predictions of the renormalization
group in connection with experimental results reported in the literature.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 09:08:18 GMT""}]","2009-11-11"
"cond-mat/0511389","Dipanjan Chakraborty","J.K.Bhattacharya, Dipanjan Chakraborty, Himadri Shekar Samanta","Brownian Motion - Past and Present","22 pages, 5 figures",,,,"cond-mat.stat-mech",,"  We discuss Brownian Motion from a more elementary viewpoint presented by
Einstein in 1908. Later developments and applications are briefly reviewed.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 09:22:18 GMT""}]","2007-05-23"
"cond-mat/0511390","Luis Craco","L. Craco, M. S. Laad, and E. M\""uller-Hartmann","Re-examining the Verwey transition in Fe3O4","4 pages, 3 figures",,,,"cond-mat.str-el cond-mat.mtrl-sci",,"  Motivated by recent structural data questioning the adequacy of the charge
order (CO)/disorder picture for the Verwey transition (at T=T_V) in magnetite,
we re-investigate this issue within a new theoretical picture. Using the
state-of-the-art LDA+DMFT method, we show that the non-trivial interplay
between the B-site octahedral distortions and strong, multi-orbital electronic
correlations in the half-metallic state is a necessary ingredient for a proper
quantitative understanding of the physical responses across T_V. While weak CO
is found to have very small effects on the low-T spectral function, the low-T
charge gap and the resistivity jump across T_V are quantitatively reproduced
only upon inclusion of CO in LSDA+DMFT scheme. Our results strongly suggest
that the Verwey transition is dominantly driven by multi-orbital electronic
correlations with associated JT distortions on the B-sublattice, and
constitutes a non-trivial advance in attempts to understand the physics of
Fe3O4.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 09:32:12 GMT""}]","2007-05-23"
